,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,°³ÀÎ ¼ר¸Å¼צ,¿Ü±¹ÀÎ ¼ר¸Å¼צ,±ג°ü ¼ר¸Å¼צ
25,A356890,½ÎÀÌ¹צ¿ר,20210722,1322460,-50634,-1039013
26,A356890,½ÎÀÌ¹צ¿ר,20210721,1309397,-39072,-1037822
27,A356890,½ÎÀÌ¹צ¿ר,20210720,1301570,-37884,-1031202
28,A356890,½ÎÀÌ¹צ¿ר,20210719,1299749,-37206,-1030058
29,A356890,½ÎÀÌ¹צ¿ר,20210716,1298312,-37158,-1028669
30,A356890,½ÎÀÌ¹צ¿ר,20210715,1296733,-35579,-1028669
31,A356890,½ÎÀÌ¹צ¿ר,20210714,1295885,-34505,-1028669
32,A356890,½ÎÀÌ¹צ¿ר,20210713,1296046,-34880,-1028455
33,A356890,½ÎÀÌ¹צ¿ר,20210712,1297617,-38324,-1026582
34,A356890,½ÎÀÌ¹צ¿ר,20210709,1298374,-39320,-1026582
35,A356890,½ÎÀÌ¹צ¿ר,20210708,1299862,-40842,-1026582
36,A356890,½ÎÀÌ¹צ¿ר,20210707,1292503,-33816,-1026582
37,A356890,½ÎÀÌ¹צ¿ר,20210706,1295664,-36804,-1026582
38,A356890,½ÎÀÌ¹צ¿ר,20210705,1299827,-36342,-1026582
39,A356890,½ÎÀÌ¹צ¿ר,20210702,1305012,-34411,-1025082
40,A356890,½ÎÀÌ¹צ¿ר,20210701,1303284,-32291,-1025282
41,A356890,½ÎÀÌ¹צ¿ר,20210630,1288064,-29842,-1012996
42,A356890,½ÎÀÌ¹צ¿ר,20210629,1285207,-26985,-1012996
43,A356890,½ÎÀÌ¹צ¿ר,20210628,1301688,-45993,-1010496
44,A356890,½ÎÀÌ¹צ¿ר,20210625,1302145,-46452,-1010496
45,A356890,½ÎÀÌ¹צ¿ר,20210624,1302282,-46280,-1010496
46,A356890,½ÎÀÌ¹צ¿ר,20210623,1303646,-47664,-1010496
47,A356890,½ÎÀÌ¹צ¿ר,20210622,1302942,-47960,-1009496
48,A356890,½ÎÀÌ¹צ¿ר,20210621,1306129,-51304,-1009339
49,A356890,½ÎÀÌ¹צ¿ר,20210618,1306564,-51917,-1009211
50,A356890,½ÎÀÌ¹צ¿ר,20210617,1307268,-53272,-1009211
51,A356890,½ÎÀÌ¹צ¿ר,20210616,1307346,-53642,-1009211
52,A356890,½ÎÀÌ¹צ¿ר,20210615,1284574,-54623,-985430
53,A356890,½ÎÀÌ¹צ¿ר,20210614,1228366,-54717,-928833
54,A356890,½ÎÀÌ¹צ¿ר,20210611,1207246,-55276,-907084
55,A356890,½ÎÀÌ¹צ¿ר,20210610,1149490,-41814,-862559
56,A356890,½ÎÀÌ¹צ¿ר,20210609,1149071,-41626,-862559
57,A356890,½ÎÀÌ¹צ¿ר,20210608,1142849,-35353,-862559
58,A356890,½ÎÀÌ¹צ¿ר,20210607,1146774,-38120,-863859
59,A356890,½ÎÀÌ¹צ¿ר,20210604,1141989,-32545,-863859
60,A356890,½ÎÀÌ¹צ¿ר,20210603,1158182,-39631,-872809
61,A356890,½ÎÀÌ¹צ¿ר,20210602,1158626,-39097,-873809
62,A356890,½ÎÀÌ¹צ¿ר,20210601,1154916,-35797,-873659
63,A356890,½ÎÀÌ¹צ¿ר,20210531,1155778,-36649,-873659
64,A356890,½ÎÀÌ¹צ¿ר,20210528,1151306,-35488,-870167
65,A356890,½ÎÀÌ¹צ¿ר,20210527,1155461,-39698,-870167
66,A356890,½ÎÀÌ¹צ¿ר,20210526,1155059,-38990,-870167
67,A356890,½ÎÀÌ¹צ¿ר,20210525,1156881,-40812,-870167
68,A356890,½ÎÀÌ¹צ¿ר,20210524,1158798,-43254,-870167
69,A356890,½ÎÀÌ¹צ¿ר,20210521,1159596,-43807,-870167
70,A356890,½ÎÀÌ¹צ¿ר,20210520,1158529,-42740,-870167
71,A356890,½ÎÀÌ¹צ¿ר,20210518,1158892,-42791,-870567
72,A356890,½ÎÀÌ¹צ¿ר,20210517,1161105,-44955,-870115
73,A356890,½ÎÀÌ¹צ¿ר,20210514,1162687,-46861,-870096
74,A356890,½ÎÀÌ¹צ¿ר,20210513,1157581,-45939,-866292
75,A356890,½ÎÀÌ¹צ¿ר,20210512,1158555,-46354,-866292
76,A356890,½ÎÀÌ¹צ¿ר,20210511,1158361,-45690,-865981
77,A356890,½ÎÀÌ¹צ¿ר,20210510,1161495,-46761,-867410
78,A356890,½ÎÀÌ¹צ¿ר,20210507,1160561,-46430,-867725
79,A356890,½ÎÀÌ¹צ¿ר,20210506,1160723,-46592,-867725
80,A356890,½ÎÀÌ¹צ¿ר,20210504,1160581,-47080,-867100
81,A356890,½ÎÀÌ¹צ¿ר,20210503,1159304,-45543,-867100
82,A356890,½ÎÀÌ¹צ¿ר,20210430,1158291,-44740,-867100
83,A356890,½ÎÀÌ¹צ¿ר,20210429,1156368,-44371,-867100
84,A356890,½ÎÀÌ¹צ¿ר,20210428,1153370,-43254,-862645
85,A356890,½ÎÀÌ¹צ¿ר,20210427,1154068,-43933,-862645
86,A356890,½ÎÀÌ¹צ¿ר,20210426,1150144,-41134,-861365
87,A356890,½ÎÀÌ¹צ¿ר,20210423,1151943,-43200,-861068
88,A356890,½ÎÀÌ¹צ¿ר,20210422,1154532,-45581,-861068
89,A356890,½ÎÀÌ¹צ¿ר,20210421,1153745,-44666,-861068
90,A356890,½ÎÀÌ¹צ¿ר,20210420,1152167,-45783,-858267
91,A356890,½ÎÀÌ¹צ¿ר,20210419,1146925,-42550,-856464
92,A356890,½ÎÀÌ¹צ¿ר,20210416,1146482,-43353,-856464
93,A356890,½ÎÀÌ¹צ¿ר,20210415,1150405,-45942,-856464
94,A356890,½ÎÀÌ¹צ¿ר,20210414,1146914,-42281,-856298
95,A356890,½ÎÀÌ¹צ¿ר,20210413,1143232,-42635,-852252
96,A356890,½ÎÀÌ¹צ¿ר,20210412,1128153,-32690,-850173
97,A356890,½ÎÀÌ¹צ¿ר,20210409,974393,-35128,-696907
98,A356890,½ÎÀÌ¹צ¿ר,20210408,980828,-39854,-696907
99,A356890,½ÎÀÌ¹צ¿ר,20210407,981393,-41146,-696639
100,A356890,½ÎÀÌ¹צ¿ר,20210406,982102,-41866,-696907
101,A356890,½ÎÀÌ¹צ¿ר,20210405,982600,-42482,-696907
