,曽鯉坪球,曽鯉誤,劾促,鯵昔 授古呪,須厩昔 授古呪,奄淫 授古呪
85,A035720,朝朝神,20210427,2448727,2321073,-2109059
86,A035720,朝朝神,20210426,2719210,2133058,-2176601
87,A035720,朝朝神,20210423,2763794,1860004,-1991040
88,A035720,朝朝神,20210422,2734429,1887250,-1991437
89,A035720,朝朝神,20210421,2451601,2049781,-1870483
90,A035720,朝朝神,20210420,1475341,2842326,-1666247
91,A035720,朝朝神,20210419,1132357,3153080,-1628745
92,A035720,朝朝神,20210416,-195060,4430036,-1523102
93,A035720,朝朝神,20210415,-1220555,3049969,-1708684
94,A035720,朝朝神,20210414,-4794835,4256595,554810
95,A035720,朝朝神,20210413,-4794835,4256595,554810
96,A035720,朝朝神,20210412,-4794835,4256595,554810
97,A035720,朝朝神,20210409,-4794835,4256595,554810
98,A035720,朝朝神,20210408,-4662405,4148475,496790
99,A035720,朝朝神,20210407,-4822025,4241290,495860
100,A035720,朝朝神,20210406,-5242780,4812235,325585
101,A035720,朝朝神,20210405,-1729695,1701580,-150575
102,A035720,朝朝神,20210402,-1422270,1417610,-161940
103,A035720,朝朝神,20210401,-1416615,1490035,-282445
104,A035720,朝朝神,20210331,-1229185,1671490,-635480
105,A035720,朝朝神,20210330,-954390,1285075,-523080
106,A035720,朝朝神,20210329,-653350,1101480,-634905
107,A035720,朝朝神,20210326,-1192990,1392835,-366100
108,A035720,朝朝神,20210325,-488820,756790,-436540
109,A035720,朝朝神,20210324,-1160610,1340645,-349480
110,A035720,朝朝神,20210323,-1108845,1253910,-318490
111,A035720,朝朝神,20210322,-1184260,1218180,-189105
112,A035720,朝朝神,20210319,-1161725,1261625,-242630
113,A035720,朝朝神,20210318,-1628390,1416690,98140
114,A035720,朝朝神,20210317,-330510,670820,-435955
115,A035720,朝朝神,20210316,-150945,502430,-462250
116,A035720,朝朝神,20210315,-427170,695160,-378520
117,A035720,朝朝神,20210312,-713165,820965,-209965
118,A035720,朝朝神,20210311,-850310,972620,-223515
