,มพธ๑ฤฺตๅ,มพธ๑ธํ,ณฏยฅ,ฐณภฮ ผ๘ธลผ๖,ฟÜฑนภฮ ผ๘ธลผ๖,ฑโฐü ผ๘ธลผ๖
75,A226320,ภีร๗วับา,20210512,-45593,29425,15840
76,A226320,ภีร๗วับา,20210511,-43749,36421,6918
77,A226320,ภีร๗วับา,20210510,-26459,26146,261
78,A226320,ภีร๗วับา,20210507,-12639,13502,-399
79,A226320,ภีร๗วับา,20210506,-11812,13247,-431
80,A226320,ภีร๗วับา,20210504,-14000,12981,2318
81,A226320,ภีร๗วับา,20210503,-12140,14352,-933
82,A226320,ภีร๗วับา,20210430,-11543,14217,-1395
83,A226320,ภีร๗วับา,20210429,-7320,10244,-1680
84,A226320,ภีร๗วับา,20210428,-6132,9667,-2274
85,A226320,ภีร๗วับา,20210427,-13754,11989,2026
86,A226320,ภีร๗วับา,20210426,-13036,11684,1583
87,A226320,ภีร๗วับา,20210423,-12354,10611,1976
88,A226320,ภีร๗วับา,20210422,-13007,9537,3703
89,A226320,ภีร๗วับา,20210421,-16212,11898,4132
90,A226320,ภีร๗วับา,20210420,-20163,14864,5117
91,A226320,ภีร๗วับา,20210419,-16085,11085,4830
92,A226320,ภีร๗วับา,20210416,-10299,4586,5535
93,A226320,ภีร๗วับา,20210415,-12800,7742,5680
94,A226320,ภีร๗วับา,20210414,-15262,8201,7693
95,A226320,ภีร๗วับา,20210413,-14736,7614,7764
96,A226320,ภีร๗วับา,20210412,-8798,1442,8063
97,A226320,ภีร๗วับา,20210409,-10530,3770,7468
98,A226320,ภีร๗วับา,20210408,-5267,-1879,7515
99,A226320,ภีร๗วับา,20210407,-6627,-1166,8163
100,A226320,ภีร๗วับา,20210406,-7086,-1615,9071
101,A226320,ภีร๗วับา,20210405,-9560,-1759,10835
102,A226320,ภีร๗วับา,20210402,-5678,-4693,10118
103,A226320,ภีร๗วับา,20210401,-7854,-1709,9330
104,A226320,ภีร๗วับา,20210331,-9441,-715,9833
105,A226320,ภีร๗วับา,20210330,-5078,-4038,8796
106,A226320,ภีร๗วับา,20210329,-5408,-3265,8356
107,A226320,ภีร๗วับา,20210326,-8865,486,8079
108,A226320,ภีร๗วับา,20210325,-8831,1170,7336
109,A226320,ภีร๗วับา,20210324,-10926,577,10029
110,A226320,ภีร๗วับา,20210323,-16593,5880,10224
111,A226320,ภีร๗วับา,20210322,-8534,1023,7022
112,A226320,ภีร๗วับา,20210319,999,-5601,3782
113,A226320,ภีร๗วับา,20210318,-4315,2510,1552
114,A226320,ภีร๗วับา,20210317,-4007,4613,-859
115,A226320,ภีร๗วับา,20210316,-2774,3495,-828
116,A226320,ภีร๗วับา,20210315,2239,-1319,-823
117,A226320,ภีร๗วับา,20210312,-339,1213,-779
118,A226320,ภีร๗วับา,20210311,2154,-1264,-775
