,Á¾¸סÄÚµו,Á¾¸ס¸ם,³¯Â¥,½Ã°¡,°ם°¡,Àת°¡,Á¾°¡,°Å·¡·®,Áץ±ÇÀü»ך¾קÁ¾ÄÚµו,¹‗ÇאÁÖ½Ä¼צ
93,A356890,½ÎÀÌ¹צ¿ר,20210409,17250,20400,17050,17650,2329635,355,4640000
94,A356890,½ÎÀÌ¹צ¿ר,20210408,18200,18250,17050,17150,313835,355,4640000
95,A356890,½ÎÀÌ¹צ¿ר,20210407,17600,18500,17350,18200,716252,355,4640000
96,A356890,½ÎÀÌ¹צ¿ר,20210406,17500,17950,16800,17350,376849,355,4640000
97,A356890,½ÎÀÌ¹צ¿ר,20210405,17300,18300,17050,17300,485064,355,4640000
98,A356890,½ÎÀÌ¹צ¿ר,20210402,17150,18400,16850,17200,811371,355,4640000
99,A356890,½ÎÀÌ¹צ¿ר,20210401,16600,19000,16450,16800,1797229,355,4640000
100,A356890,½ÎÀÌ¹צ¿ר,20210331,15400,19300,15200,16300,2024244,355,4640000
101,A356890,½ÎÀÌ¹צ¿ר,20210330,15450,15750,15150,15600,210610,355,4640000
102,A356890,½ÎÀÌ¹צ¿ר,20210329,16500,16600,15350,15400,282820,355,4640000
103,A356890,½ÎÀÌ¹צ¿ר,20210326,17250,17550,16450,16450,265874,355,4640000
104,A356890,½ÎÀÌ¹צ¿ר,20210325,17850,18100,17000,17300,429096,355,4640000
105,A356890,½ÎÀÌ¹צ¿ר,20210324,20250,20600,18300,18300,1557329,355,4640000
106,A356890,½ÎÀÌ¹צ¿ר,20210323,18650,19050,18150,18650,783727,355,4640000
107,A356890,½ÎÀÌ¹צ¿ר,20210322,18400,19300,18150,18250,610996,355,4640000
108,A356890,½ÎÀÌ¹צ¿ר,20210319,20000,21500,18750,18800,2396490,355,4640000
109,A356890,½ÎÀÌ¹צ¿ר,20210318,19750,23050,19400,21000,5029059,355,4640000
110,A356890,½ÎÀÌ¹צ¿ר,20210317,17850,21700,17100,18900,3394494,355,4640000
111,A356890,½ÎÀÌ¹צ¿ר,20210316,19700,20200,17800,18200,1202716,355,4640000
112,A356890,½ÎÀÌ¹צ¿ר,20210315,22300,22900,19750,20000,2248700,355,4640000
113,A356890,½ÎÀÌ¹צ¿ר,20210312,20600,26500,20300,22100,12484558,355,4640000
114,A356890,½ÎÀÌ¹צ¿ר,20210311,18000,23400,15450,21200,21217482,355,4640000
