번호,종목코드,종목명,fullcode,상업코드
219,A003530,한화투자증권,KR7003530003,024
220,A003535,한화투자증권우,KR7003531001,024
221,A003540,대신증권,KR7003540002,024
222,A003545,대신증권우,KR7003541000,024
223,A003547,대신증권2우B,KR7003542008,024
224,A003550,LG,KR7003550001,021
225,A003555,LG우,KR7003551009,021
226,A003560,IHQ,KR7003560000,026
227,A003570,SNT중공업,KR7003570009,015
228,A003580,넥스트사이언스,KR7003580008,004
229,A003610,방림,KR7003610003,006
230,A003620,쌍용차,KR7003620002,015
231,A003650,미창석유,KR7003650009,008
232,A003670,포스코케미칼,KR7003670007,010
233,A003680,한성기업,KR7003680006,005
234,A003690,코리안리,KR7003690005,025
235,A003720,삼영화학,KR7003720000,008
236,A003780,진양산업,KR7003780004,008
237,A003800,에이스침대,KR7003800000,277
238,A003830,대한화섬,KR7003830007,008
239,A003850,보령제약,KR7003850005,009
240,A003920,남양유업,KR7003920006,005
241,A003925,남양유업우,KR7003921004,005
242,A003960,사조대림,KR7003960002,005
243,A004000,롯데정밀화학,KR7004000006,008
244,A004020,현대제철,KR7004020004,011
245,A004060,SG세계물산,KR7004060000,016
246,A004080,신흥,KR7004080008,016
247,A004090,한국석유,KR7004090007,010
248,A004100,태양금속,KR7004100004,015
249,A004105,태양금속우,KR7004101002,015
250,A004140,동방,KR7004140000,019
251,A004150,한솔홀딩스,KR7004150009,021
252,A004170,신세계,KR7004170007,016
253,A004250,NPC,KR7004250007,008
254,A004255,NPC우,KR7004251005,008
255,A004270,남성,KR7004270005,016
256,A004310,현대약품,KR7004310009,009
257,A004360,세방,KR7004360004,019
258,A004365,세방우,KR7004361002,019
259,A004370,농심,KR7004370003,005
260,A004380,삼익THK,KR7004380002,012
261,A004410,서울식품,KR7004410007,005
262,A004415,서울식품우,KR7004411005,005
263,A004430,송원산업,KR7004430005,008
264,A004440,삼일씨엔에스,KR7004440004,010
265,A004450,삼화왕관,KR7004450003,012
266,A004490,세방전지,KR7004490009,013
267,A004540,깨끗한나라,KR7004540001,007
268,A004545,깨끗한나라우,KR7004541009,007
269,A004560,현대비앤지스틸,KR7004560009,011
270,A004565,현대비앤지스틸우,KR7004561007,011
271,A004590,한국가구,KR7004590006,227
272,A004650,창해에탄올,KR7004650008,256
273,A004690,삼천리,KR7004690004,017
274,A004700,조광피혁,KR7004700001,004
275,A004710,한솔테크닉스,KR7004710000,013
276,A004720,팜젠사이언스,KR7004720009,009
277,A004770,써니전자,KR7004770004,013
278,A004780,대륙제관,KR7004780003,268
279,A004800,효성,KR7004800009,021
280,A004830,덕성,KR7004830006,008
281,A004835,덕성우,KR7004831004,008
282,A004840,DRB동일,KR7004840005,008
283,A004870,티웨이홀딩스,KR7004870002,010
284,A004890,동일산업,KR7004890000,011
285,A004910,조광페인트,KR7004910006,008
286,A004920,씨아이테크,KR7004920005,004
287,A004960,한신공영,KR7004960001,018
288,A004970,신라교역,KR7004970000,004
289,A004980,성신양회,KR7004980009,010
290,A004985,성신양회우,KR7004981007,010
291,A004990,롯데지주,KR7004990008,021
292,A00499K,롯데지주우,KR700499K014,021
293,A005010,휴스틸,KR7005010004,011
294,A005030,부산주공,KR7005030002,015
295,A005070,코스모신소재,KR7005070008,008
